# (c) Scikit-HEP project - Particle package data file - nuclei2022.csv - version 13 - 2023-07-03
ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
1000000010,939.5654205,5e-07,5e-07,7.493e-25,4e-28,4e-28,1/2,5,1,5,1,0,4,0,n,udd,n
-1000000010,939.5654205,5e-07,5e-07,7.493e-25,4e-28,4e-28,1/2,5,-1,5,1,0,4,0,n,UDD,\overline{n}
1000010010,938.27208816,2.9e-07,2.9e-07,0.0,0.0,0.0,1/2,5,1,5,1,3,4,0,p,uud,p
-1000010010,938.27208816,2.9e-07,2.9e-07,0.0,0.0,0.0,1/2,5,-1,5,1,-3,4,0,p,UUD,\overline{p}
1000010020,1876.1239278,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,D2,,^{2}\mathrm{D}
-1000010020,1876.1239278,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,D2,,^{2}\mathrm{\overline{D}}
1000010030,2809.4321052,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,T3,,^{3}\mathrm{T}
-1000010030,2809.4321052,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,T3,,^{3}\mathrm{\overline{T}}
1000010040,3751.8998904,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,H4,,^{4}\mathrm{H}
-1000010040,3751.8998904,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,H4,,^{4}\mathrm{\overline{H}}
1000010050,4694.3017887,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,H5,,^{5}\mathrm{H}
-1000010050,4694.3017887,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,H5,,^{5}\mathrm{\overline{H}}
1000010060,5630.8259593,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,H6,,^{6}\mathrm{H}
-1000010060,5630.8259593,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,H6,,^{6}\mathrm{\overline{H}}
1000020030,2809.4135146,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He3,,^{3}\mathrm{He}
-1000020030,2809.4135146,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He3,,^{3}\mathrm{\overline{He}}
1000020040,3728.4013213,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He4,,^{4}\mathrm{He}
-1000020040,3728.4013213,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He4,,^{4}\mathrm{\overline{He}}
1000020050,4668.8533699,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He5,,^{5}\mathrm{He}
-1000020050,4668.8533699,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He5,,^{5}\mathrm{\overline{He}}
1000020060,5606.5587681,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He6,,^{6}\mathrm{He}
-1000020060,5606.5587681,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He6,,^{6}\mathrm{\overline{He}}
1000020070,6546.5684964,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He7,,^{7}\mathrm{He}
-1000020070,6546.5684964,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He7,,^{7}\mathrm{\overline{He}}
1000020080,7483.550962,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He8,,^{8}\mathrm{He}
-1000020080,7483.550962,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He8,,^{8}\mathrm{\overline{He}}
1000020090,8424.264993,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He9,,^{9}\mathrm{He}
-1000020090,8424.264993,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He9,,^{9}\mathrm{\overline{He}}
1000020100,9363.7513148,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He10,,^{10}\mathrm{He}
-1000020100,9363.7513148,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,He10,,^{10}\mathrm{\overline{He}}
1000030040,3751.2944192,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li4,,^{4}\mathrm{Li}
-1000030040,3751.2944192,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li4,,^{4}\mathrm{\overline{Li}}
1000030050,4669.151448,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li5,,^{5}\mathrm{Li}
-1000030050,4669.151448,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li5,,^{5}\mathrm{\overline{Li}}
1000030060,5603.0509476,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li6,,^{6}\mathrm{Li}
-1000030060,5603.0509476,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li6,,^{6}\mathrm{\overline{Li}}
1000030070,6535.3663483,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li7,,^{7}\mathrm{Li}
-1000030070,6535.3663483,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li7,,^{7}\mathrm{\overline{Li}}
1000030080,7472.8990475,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li8,,^{8}\mathrm{Li}
-1000030080,7472.8990475,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li8,,^{8}\mathrm{\overline{Li}}
1000030090,8408.4008101,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li9,,^{9}\mathrm{Li}
-1000030090,8408.4008101,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li9,,^{9}\mathrm{\overline{Li}}
1000030100,9347.9913661,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li10,,^{10}\mathrm{Li}
-1000030100,9347.9913661,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li10,,^{10}\mathrm{\overline{Li}}
1000030110,10287.2308419,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li11,,^{11}\mathrm{Li}
-1000030110,10287.2308419,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li11,,^{11}\mathrm{\overline{Li}}
1000030120,11228.0249814,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li12,,^{12}\mathrm{Li}
-1000030120,11228.0249814,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Li12,,^{12}\mathrm{\overline{Li}}
1000040050,4695.4661564,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be5,,^{5}\mathrm{Be}
-1000040050,4695.4661564,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be5,,^{5}\mathrm{\overline{Be}}
1000040060,5607.339267,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be6,,^{6}\mathrm{Be}
-1000040060,5607.339267,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be6,,^{6}\mathrm{\overline{Be}}
1000040070,6536.2281667,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be7,,^{7}\mathrm{Be}
-1000040070,6536.2281667,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be7,,^{7}\mathrm{\overline{Be}}
1000040080,7456.8944791,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be8,,^{8}\mathrm{Be}
-1000040080,7456.8944791,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be8,,^{8}\mathrm{\overline{Be}}
1000040090,8394.7944758,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be9,,^{9}\mathrm{Be}
-1000040090,8394.7944758,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be9,,^{9}\mathrm{\overline{Be}}
1000040100,9327.5475856,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be10,,^{10}\mathrm{Be}
-1000040100,9327.5475856,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be10,,^{10}\mathrm{\overline{Be}}
1000040110,10266.6094255,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be11,,^{11}\mathrm{Be}
-1000040110,10266.6094255,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be11,,^{11}\mathrm{\overline{Be}}
1000040120,11203.0059814,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be12,,^{12}\mathrm{Be}
-1000040120,11203.0059814,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be12,,^{12}\mathrm{\overline{Be}}
1000040130,12143.0782129,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be13,,^{13}\mathrm{Be}
-1000040130,12143.0782129,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be13,,^{13}\mathrm{\overline{Be}}
1000040140,13080.8040109,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be14,,^{14}\mathrm{Be}
-1000040140,13080.8040109,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Be14,,^{14}\mathrm{\overline{Be}}
1000050070,6548.3290202,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B7,,^{7}\mathrm{B}
-1000050070,6548.3290202,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B7,,^{7}\mathrm{\overline{B}}
1000050080,7474.873815,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B8,,^{8}\mathrm{B}
-1000050080,7474.873815,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B8,,^{8}\mathrm{\overline{B}}
1000050090,8395.8626201,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B9,,^{9}\mathrm{B}
-1000050090,8395.8626201,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B9,,^{9}\mathrm{\overline{B}}
1000050100,9326.9917631,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B10,,^{10}\mathrm{B}
-1000050100,9326.9917631,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B10,,^{10}\mathrm{\overline{B}}
1000050110,10255.1031446,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B11,,^{11}\mathrm{B}
-1000050110,10255.1031446,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B11,,^{11}\mathrm{\overline{B}}
1000050120,11191.2981251,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B12,,^{12}\mathrm{B}
-1000050120,11191.2981251,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B12,,^{12}\mathrm{\overline{B}}
1000050130,12125.9855756,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B13,,^{13}\mathrm{B}
-1000050130,12125.9855756,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B13,,^{13}\mathrm{\overline{B}}
1000050140,13064.5811096,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B14,,^{14}\mathrm{B}
-1000050140,13064.5811096,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B14,,^{14}\mathrm{\overline{B}}
1000050150,14001.3782079,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B15,,^{15}\mathrm{B}
-1000050150,14001.3782079,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B15,,^{15}\mathrm{\overline{B}}
1000050160,14940.9884184,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B16,,^{16}\mathrm{B}
-1000050160,14940.9884184,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B16,,^{16}\mathrm{\overline{B}}
1000050170,15879.1147588,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B17,,^{17}\mathrm{B}
-1000050170,15879.1147588,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B17,,^{17}\mathrm{\overline{B}}
1000050180,16819.2158667,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B18,,^{18}\mathrm{B}
-1000050180,16819.2158667,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B18,,^{18}\mathrm{\overline{B}}
1000050190,17757.7520645,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B19,,^{19}\mathrm{B}
-1000050190,17757.7520645,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,B19,,^{19}\mathrm{\overline{B}}
1000060080,7487.0468594,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C8,,^{8}\mathrm{C}
-1000060080,7487.0468594,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C8,,^{8}\mathrm{\overline{C}}
1000060090,8412.3605916,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C9,,^{9}\mathrm{C}
-1000060090,8412.3605916,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C9,,^{9}\mathrm{\overline{C}}
1000060100,9330.6395871,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C10,,^{10}\mathrm{C}
-1000060100,9330.6395871,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C10,,^{10}\mathrm{\overline{C}}
1000060110,10257.0856435,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C11,,^{11}\mathrm{C}
-1000060110,10257.0856435,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C11,,^{11}\mathrm{\overline{C}}
1000060120,11177.9292286,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C12,,^{12}\mathrm{C}
-1000060120,11177.9292286,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C12,,^{12}\mathrm{\overline{C}}
1000060130,12112.5483426,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C13,,^{13}\mathrm{C}
-1000060130,12112.5483426,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C13,,^{13}\mathrm{\overline{C}}
1000060140,13043.9373261,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C14,,^{14}\mathrm{C}
-1000060140,13043.9373261,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C14,,^{14}\mathrm{\overline{C}}
1000060150,13982.2847212,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C15,,^{15}\mathrm{C}
-1000060150,13982.2847212,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C15,,^{15}\mathrm{\overline{C}}
1000060160,14917.599533,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C16,,^{16}\mathrm{C}
-1000060160,14917.599533,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C16,,^{16}\mathrm{\overline{C}}
1000060170,15856.4366034,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C17,,^{17}\mathrm{C}
-1000060170,15856.4366034,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C17,,^{17}\mathrm{\overline{C}}
1000060180,16791.8206251,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C18,,^{18}\mathrm{C}
-1000060180,16791.8206251,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C18,,^{18}\mathrm{\overline{C}}
1000060190,17731.2231124,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C19,,^{19}\mathrm{C}
-1000060190,17731.2231124,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C19,,^{19}\mathrm{\overline{C}}
1000060200,18667.4398899,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C20,,^{20}\mathrm{C}
-1000060200,18667.4398899,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C20,,^{20}\mathrm{\overline{C}}
1000060210,19607.3360691,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C21,,^{21}\mathrm{C}
-1000060210,19607.3360691,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C21,,^{21}\mathrm{\overline{C}}
1000060220,20545.4530946,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C22,,^{22}\mathrm{C}
-1000060220,20545.4530946,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,C22,,^{22}\mathrm{\overline{C}}
1000070100,9354.6413025,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N10,,^{10}\mathrm{N}
-1000070100,9354.6413025,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N10,,^{10}\mathrm{\overline{N}}
1000070110,10271.3991682,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N11,,^{11}\mathrm{N}
-1000070110,10271.3991682,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N11,,^{11}\mathrm{\overline{N}}
1000070120,11195.2673146,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N12,,^{12}\mathrm{N}
-1000070120,11195.2673146,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N12,,^{12}\mathrm{\overline{N}}
1000070130,12114.7687844,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N13,,^{13}\mathrm{N}
-1000070130,12114.7687844,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N13,,^{13}\mathrm{\overline{N}}
1000070140,13043.7808511,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N14,,^{14}\mathrm{N}
-1000070140,13043.7808511,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N14,,^{14}\mathrm{\overline{N}}
1000070150,13972.512974,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N15,,^{15}\mathrm{N}
-1000070150,13972.512974,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N15,,^{15}\mathrm{\overline{N}}
1000070160,14909.5890563,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N16,,^{16}\mathrm{N}
-1000070160,14909.5890563,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N16,,^{16}\mathrm{\overline{N}}
1000070170,15843.2708657,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N17,,^{17}\mathrm{N}
-1000070170,15843.2708657,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N17,,^{17}\mathrm{\overline{N}}
1000070180,16780.0111429,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N18,,^{18}\mathrm{N}
-1000070180,16780.0111429,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N18,,^{18}\mathrm{\overline{N}}
1000070190,17714.2484954,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N19,,^{19}\mathrm{N}
-1000070190,17714.2484954,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N19,,^{19}\mathrm{\overline{N}}
1000070200,18651.6510649,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N20,,^{20}\mathrm{N}
-1000070200,18651.6510649,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N20,,^{20}\mathrm{\overline{N}}
1000070210,19586.6103253,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N21,,^{21}\mathrm{N}
-1000070210,19586.6103253,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N21,,^{21}\mathrm{\overline{N}}
1000070220,20524.9509094,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N22,,^{22}\mathrm{N}
-1000070220,20524.9509094,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N22,,^{22}\mathrm{\overline{N}}
1000070230,21462.0991809,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N23,,^{23}\mathrm{N}
-1000070230,21462.0991809,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N23,,^{23}\mathrm{\overline{N}}
1000070240,22402.8989094,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N24,,^{24}\mathrm{N}
-1000070240,22402.8989094,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,N24,,^{24}\mathrm{\overline{N}}
1000080120,11209.9772832,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O12,,^{12}\mathrm{O}
-1000080120,11209.9772832,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O12,,^{12}\mathrm{\overline{O}}
1000080130,12132.5336997,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O13,,^{13}\mathrm{O}
-1000080130,12132.5336997,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O13,,^{13}\mathrm{\overline{O}}
1000080140,13048.9238953,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O14,,^{14}\mathrm{O}
-1000080140,13048.9238953,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O14,,^{14}\mathrm{\overline{O}}
1000080150,13975.2669378,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O15,,^{15}\mathrm{O}
-1000080150,13975.2669378,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O15,,^{15}\mathrm{\overline{O}}
1000080160,14899.1686386,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O16,,^{16}\mathrm{O}
-1000080160,14899.1686386,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O16,,^{16}\mathrm{\overline{O}}
1000080170,15834.5907379,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O17,,^{17}\mathrm{O}
-1000080170,15834.5907379,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O17,,^{17}\mathrm{\overline{O}}
1000080180,16766.1117605,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O18,,^{18}\mathrm{O}
-1000080180,16766.1117605,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O18,,^{18}\mathrm{\overline{O}}
1000080190,17701.7217627,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O19,,^{19}\mathrm{O}
-1000080190,17701.7217627,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O19,,^{19}\mathrm{\overline{O}}
1000080200,18633.679004,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O20,,^{20}\mathrm{O}
-1000080200,18633.679004,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O20,,^{20}\mathrm{\overline{O}}
1000080210,19569.4382315,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O21,,^{21}\mathrm{O}
-1000080210,19569.4382315,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O21,,^{21}\mathrm{\overline{O}}
1000080220,20502.1572487,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O22,,^{22}\mathrm{O}
-1000080220,20502.1572487,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O22,,^{22}\mathrm{\overline{O}}
1000080230,21438.9794973,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O23,,^{23}\mathrm{O}
-1000080230,21438.9794973,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O23,,^{23}\mathrm{\overline{O}}
1000080240,22374.8329921,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O24,,^{24}\mathrm{O}
-1000080240,22374.8329921,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O24,,^{24}\mathrm{\overline{O}}
1000080250,23314.4962978,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O25,,^{25}\mathrm{O}
-1000080250,23314.4962978,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O25,,^{25}\mathrm{\overline{O}}
1000080260,24254.0105644,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O26,,^{26}\mathrm{O}
-1000080260,24254.0105644,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,O26,,^{26}\mathrm{\overline{O}}
1000090140,13074.5257406,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F14,,^{14}\mathrm{F}
-1000090140,13074.5257406,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F14,,^{14}\mathrm{\overline{F}}
1000090150,13989.1877446,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F15,,^{15}\mathrm{F}
-1000090150,13989.1877446,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F15,,^{15}\mathrm{\overline{F}}
1000090160,14914.5861495,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F16,,^{16}\mathrm{F}
-1000090160,14914.5861495,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F16,,^{16}\mathrm{\overline{F}}
1000090170,15837.3514443,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F17,,^{17}\mathrm{F}
-1000090170,15837.3514443,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F17,,^{17}\mathrm{\overline{F}}
1000090180,16767.767305,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F18,,^{18}\mathrm{F}
-1000090180,16767.767305,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F18,,^{18}\mathrm{\overline{F}}
1000090190,17696.9005355,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F19,,^{19}\mathrm{F}
-1000090190,17696.9005355,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F19,,^{19}\mathrm{\overline{F}}
1000090200,18629.8646474,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F20,,^{20}\mathrm{F}
-1000090200,18629.8646474,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F20,,^{20}\mathrm{\overline{F}}
1000090210,19561.3285507,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F21,,^{21}\mathrm{F}
-1000090210,19561.3285507,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F21,,^{21}\mathrm{\overline{F}}
1000090220,20495.6638033,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F22,,^{22}\mathrm{F}
-1000090220,20495.6638033,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F22,,^{22}\mathrm{\overline{F}}
1000090230,21427.6897888,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F23,,^{23}\mathrm{F}
-1000090230,21427.6897888,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F23,,^{23}\mathrm{\overline{F}}
1000090240,22363.4035595,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F24,,^{24}\mathrm{F}
-1000090240,22363.4035595,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F24,,^{24}\mathrm{\overline{F}}
1000090250,23298.6143233,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F25,,^{25}\mathrm{F}
-1000090250,23298.6143233,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F25,,^{25}\mathrm{\overline{F}}
1000090260,24237.1318912,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F26,,^{26}\mathrm{F}
-1000090260,24237.1318912,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F26,,^{26}\mathrm{\overline{F}}
1000090270,25175.3886408,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F27,,^{27}\mathrm{F}
-1000090270,25175.3886408,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F27,,^{27}\mathrm{\overline{F}}
1000090280,26115.0612614,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F28,,^{28}\mathrm{F}
-1000090280,26115.0612614,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F28,,^{28}\mathrm{\overline{F}}
1000090290,27053.625404,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F29,,^{29}\mathrm{F}
-1000090290,27053.625404,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,F29,,^{29}\mathrm{\overline{F}}
1000100160,14927.8981318,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Ne16,,^{16}\mathrm{Ne}
-1000100160,14927.8981318,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Ne16,,^{16}\mathrm{\overline{Ne}}
1000100170,15851.8871862,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Ne17,,^{17}\mathrm{Ne}
-1000100170,15851.8871862,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Ne17,,^{17}\mathrm{\overline{Ne}}
1000100180,16772.200658,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Ne18,,^{18}\mathrm{Ne}
-1000100180,16772.200658,-1,-1,-1,-1,-1,,5,5,5,1,50,0,0,Ne18,,^{18}\mathrm{\overline{Ne}}
